Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0079.3.JASPAR	13.096323	1.309632	10	1.111000	1.100000	0.916000	1.098000
SP1_f1.HOCOMOCO	11.772443	1.177244	10	1.137000	1.069000	0.938000	1.068000
SP1_f2.HOCOMOCO	13.383811	0.743545	18	1.156000	1.098000	0.939000	1.098000
Sp1.HOMER	16.500711	1.500065	11	1.178000	1.177000	0.941000	1.178000
SP1_disc1.POUR	13.856668	0.659841	21	1.558000	1.681000	1.053000	1.686000
SP1_disc2.POUR	11.029667	1.575667	7	1.043000	1.052000	0.945000	1.052000
SP1_disc3.POUR	13.866040	0.990431	14	1.126000	1.053000	0.899000	1.052000
SP1_DBD.JOLMA	10.780787	1.078079	10	1.140000	1.086000	0.950000	1.085000
SP1_1.GUERTIN	12.056226	1.096021	11	1.480000	1.712000	0.907000	1.713000
SP1_2.GUERTIN	12.657366	1.150670	11	1.165000	1.140000	0.898000	1.140000
SP1_3.GUERTIN	18.449794	1.677254	11	1.029000	1.016000	0.900000	1.003000
SP1_4.GUERTIN	17.058068	1.550733	11	1.100000	1.000000	0.931000	0.990000
SP1.2_1.ZLAB	12.640193	1.053349	12	1.540000	1.706000	0.900000	1.707000
SP1.2_2.ZLAB	13.443877	0.960277	14	1.190000	1.224000	0.898000	1.222000
SP1.2_3.ZLAB	10.877278	1.553897	7	1.526000	1.638000	1.034000	1.643000
SP1.2_4.ZLAB	20.434052	0.756817	27	1.115000	1.174000	0.968000	1.177000
SP1.2_5.ZLAB	18.787443	0.695831	27	1.408000	1.501000	0.961000	1.460000
Sp1.TF2DNA	7.464976	1.244163	6	1.162000	1.016000	0.960000	1.007000
SP1.SWISSREGULON	13.774373	1.059567	13	1.159000	1.135000	0.939000	1.135000
M1906_1.02.CIS-BP	12.876953	1.287695	10	1.120000	1.068000	0.934000	1.067000
